Año,Unidades_compradas_usadas,Unidades_compradas_nuevas,variación_compraventa_viviendas
2007,292710,203629,-15.4
2008,185494,173254,-28.6
2009,112787,129193,-24.9
2010,134193,13499,-18.1
2011,121215,113255,-12.9
2012,96682,93131,-19.05
2013,105402,92263,4.14
2014,112723,77762,-3.63
2015,162526,8570,10.82
2016,194775,46764,14.42
2017,227537,48323,14.21
2018,256219,53498,12.27
2019,256619,57736,1.5
2020,191071,45423,-24.77
2021,254113,64450,34.7
2022,315045,69550,20.73
2023,295393,68693,-5.33
