Año,Mes,Compraventa_nueva,Compraventa_usadas,Total_compraventa,Precio_m2,Hipotecas,Índice_precio,Deuda_familias
2017,Enero,5.10,21.06,17.93,2.80,14.12,0.00,-3.30
2017,Febrero,-16.01,6.39,1.49,6.00,-2.04,0.00,-3.26
2017,Marzo,21.55,29.73,28.17,4.07,19.52,0.00,-3.04
2017,Abril,-22.96,-4.36,-8.12,8.23,-12.51,0.00,-3.06
2017,Mayo,10.70,26.88,23.83,3.80,6.96,0.00,-3.04
2017,Junio,16.90,19.10,18.71,4.18,13.85,0.00,-3.09
2017,Julio,15.64,19.47,18.77,7.50,28.44,0.00,-3.05
2017,Agosto,22.27,15.71,16.84,5.98,22.62,0.00,-2.98
2017,Septiembre,21.81,10.03,12.06,7.19,9.88,0.00,-2.98
2017,Octubre,29.26,26.47,26.97,2.29,4.00,0.00,-2.98
2017,Noviembre,29.35,17.41,19.42,4.34,-0.50,0.00,-2.99
2017,Diciembre,12.11,10.15,10.50,1.69,-3.27,0.00,-2.88
2018,Enero,24.38,24.26,24.28,1.43,11.32,0.00,-2.87
2018,Febrero,15.45,16.42,16.24,1.03,12.59,0.00,-2.80
2018,Marzo,-4.89,-1.68,-2.26,1.34,-5.72,0.00,-1.61
2018,Abril,27.87,31.37,30.78,1.38,37.93,0.00,-1.60
2018,Mayo,8.34,3.57,4.37,1.64,6.66,0.00,-1.38
2018,Junio,1.40,2.65,2.43,1.87,2.65,0.00,-1.12
2018,Julio,9.05,18.50,16.83,1.90,15.76,0.00,-1.12
2018,Agosto,9.11,7.56,7.83,4.82,9.80,0.00,-1.00
2018,Septiembre,10.17,10.85,10.73,4.66,9.46,0.00,-1.13
2018,Octubre,14.77,15.86,15.66,1.78,20.77,0.00,-0.97
2018,Noviembre,6.82,3.27,3.92,4.11,18.27,0.00,-0.74
2018,Diciembre,6.06,4.47,4.75,5.64,3.11,0.00,-0.84
2019,Enero,11.68,-1.28,0.98,4.63,17.43,0.00,-0.66
2019,Febrero,17.61,3.68,6.19,1.69,8.11,0.00,-0.56
2019,Marzo,13.85,5.65,7.09,4.55,16.11,0.00,-1.48
2019,Abril,7.62,-4.81,-2.75,-0.94,-3.25,0.00,-1.49
2019,Mayo,1.10,3.11,2.76,1.60,13.88,0.00,-1.42
2019,Junio,-7.96,-7.88,-7.90,1.99,-1.38,0.00,-1.49
2019,Julio,12.81,3.15,4.74,3.50,13.82,0.00,-1.51
