año,Departamento,Femenino,Masculino,Total
2015,SANTANDER,1170,669,1839
2016,SANTANDER,1412,729,2141
2017,SANTANDER,948,459,1407
2018,ARAUCA,0,1,1
2018,BOLIVAR,1,0,1
2018,BOYACA,1,0,1
2018,CAQUETA,1,0,1
2018,CORDOBA,1,0,1
2018,DEPTO DESCONOCIDO,4,0,4
2018,HUILA,0,1,1
2018,NORTE SANTANDER,3,1,4
2018,SANTANDER,763,321,1084
2018,STA MARTA D.E.,0,1,1
2019,ANTIOQUIA,1,0,1
2019,ARAUCA,2,0,2
2019,ATLANTICO,1,0,1
2019,BARRANQUILLA,1,0,1
2019,BOGOTA,2,2,4
2019,BOLIVAR,1,0,1
2019,BOYACA,1,0,1
2019,DEPTO DESCONOCIDO,17,7,24
2019,NORTE SANTANDER,4,0,4
2019,SANTANDER,859,321,1180
2019,STA MARTA D.E.,1,0,1
2020,ANTIOQUIA,1,0,1
2020,BOGOTA,1,0,1
2020,BOLIVAR,0,1,1
2020,BOYACA,1,0,1
2020,DEPTO DESCONOCIDO,5,3,8
2020,SANTANDER,756,309,1065
2021,ANTIOQUIA,1,0,1
2021,BOGOTA,2,2,4
2021,BOLÍVAR,0,1,1
2021,CESAR,1,0,1
2021,NARIÑO,1,0,1
2021,NORTE SANTANDER,1,0,1
2021,SANTANDER,802,312,1114
2021,ZULIA,1,0,1
2022,ANTIOQUIA,2,0,2
2022,APURE,2,0,2
2022,ARAGUA,1,0,1
2022,ARAUCA,1,0,1
2022,ATLANTICO,1,0,1
2022,BOGOTA,1,1,2
2022,BOLIVAR,3,0,3
2022,BOYACA,3,0,3
2022,CARABOBO,3,1,4
2022,CASANARE,3,0,3
2022,CESAR,5,1,6
2022,CUNDINAMARCA,2,2,4
2022,DEPTO DESCONOCIDO,1,1,2
2022,HUILA,0,1,1
2022,MAGDALENA,1,0,1
2022,META,1,0,1
2022,NARIÑO,1,0,1
2022,NORTE SANTANDER,6,2,8
2022,PORTUGUESA,2,0,2
2022,SANTANDER,1293,485,1778
2022,SUCRE,2,0,2
2022,TACHIRA,2,0,2
2022,VARGAS,1,0,1
2022,YARACUY,1,0,1
2022,ZULIA,2,0,2
2023,BOLIVAR,1,0,1
2023,BOLÍVAR,1,0,1
2023,CESAR,1,0,1
2023,CUNDINAMARCA,1,0,1
2023,NARIÑO,1,0,1
2023,NORTE SANTANDER,2,1,3
2023,PORTUGUESA,1,0,1
2023,SANTANDER,289,119,408
2023,TOLIMA,1,0,1
2023,ZULIA,1,1,2
